Ts,ActP
1645449461,117
1645449462,117
1645449463,120
1645449464,4
1645449465,3
1645449466,3
1645449467,3
1645449468,3
1645449469,3
1645449470,3
1645449471,3
1645449472,3
1645449473,3
1645449474,3
1645449475,3
1645449476,130
1645449477,127
1645449478,113
1645449479,109
1645449480,112
1645449481,110
1645449482,107
1645449483,105
1645449484,3
1645449485,3
1645449486,3
1645449487,3
1645449488,3
1645449489,3
1645449490,3
1645449491,3
1645449492,3
1645449493,3
1645449494,3
1645449495,3
1645449496,148
1645449497,124
1645449498,121
1645449499,115
1645449500,118
1645449501,116
1645449502,112
1645449503,118
1645449504,3
1645449505,3
1645449506,3
1645449507,3
1645449508,3
1645449509,3
1645449510,3
1645449511,3
1645449512,3
1645449513,3
1645449514,3
1645449516,3
1645449516,95
1645449517,113
1645449518,109
1645449519,111
1645449520,109
1645449521,107
1645449522,107
1645449523,76
1645449524,3
1645449525,3
1645449526,3
1645449527,3
1645449528,3
1645449529,3
1645449530,3
1645449531,3
1645449532,3
1645449533,3
1645449534,3
1645449536,3
1645449536,151
1645449537,125
1645449538,121
1645449539,119
1645449540,117
1645449541,116
1645449542,114
1645449543,115
1645449544,3
1645449545,3
1645449547,3
1645449548,3
1645449548,3
1645449550,3
1645449550,3
1645449552,3
1645449553,3
1645449554,3
1645449555,3
1645449555,3
1645449556,91
1645449557,113
1645449558,108
1645449559,108
1645449560,109
1645449561,107
1645449562,108
1645449563,72
1645449564,3
1645449565,3
1645449566,3
1645449567,3
1645449568,3
1645449569,3
1645449570,3
1645449571,3
1645449572,3
1645449573,3
1645449574,3
1645449575,3
1645449576,144
1645449577,125
1645449578,121
1645449579,116
1645449580,118
1645449582,115
1645449582,113
1645449583,115
1645449584,3
1645449585,3
1645449586,3
1645449587,3
1645449588,3
1645449589,3
1645449590,3
1645449591,3
1645449592,3
1645449593,3
1645449594,3
1645449595,3
1645449596,94
1645449597,115
1645449598,109
1645449599,111
1645449600,112
1645449601,108
1645449602,111
1645449603,74
1645449604,3
1645449605,3
1645449606,3
1645449607,3
1645449608,3
1645449609,3
1645449610,3
1645449611,3
1645449612,3
1645449613,3
1645449614,3
1645449615,3
1645449616,150
1645449617,118
1645449618,118
1645449619,118
1645449620,113
1645449621,116
1645449622,115
1645449623,117
1645449624,3
1645449625,3
1645449626,3
1645449627,3
1645449628,3
1645449629,3
1645449630,3
1645449631,3
1645449633,3
1645449633,3
1645449634,3
1645449635,3
1645449636,96
1645449637,112
1645449638,107
1645449639,105
1645449640,108
1645449641,112
1645449642,110
1645449643,79
1645449644,3
1645449645,3
1645449646,3
1645449647,3
1645449648,3
1645449649,3
1645449650,3
1645449651,3
1645449652,3
1645449653,3
1645449654,3
1645449655,3
1645449656,110
1645449657,116
1645449658,111
1645449659,118
1645449660,115
1645449661,116
1645449662,117
1645449663,32
1645449664,3
1645449665,3
1645449666,3
1645449667,3
1645449668,3
1645449669,3
1645449670,3
1645449671,3
1645449672,3
1645449674,3
1645449675,3
1645449676,10
1645449677,111
1645449677,126
1645449678,110
1645449680,106
1645449681,108
